from_to,score,straight_line_mi,travel_time_hr,network_dist_mi,avg_speed_mph
75::Philadelphia-Camden-Wilmington--Pittsburgh,228869610.89,254.92480777319528,4.199482078220585,331.7590841794263,79.00000000000001
76::Philadelphia-Camden-Wilmington--Hartford-West Hartford-East Hartford,227827591.83,177.61870384044562,2.4084977676979618,190.27132364813903,79.00000000000003
77::Richmond--Baltimore-Columbia-Towson,227318080.52,130.70743756377553,1.869178395993078,147.6650932834532,79.00000000000001
78::Orlando-Kissimmee-Sanford--North Port-Bradenton-Sarasota,225676357.71,106.50059699710684,1.7292332405880877,136.609426006459,79.00000000000003
79::Boston-Cambridge-Newton--Bridgeport-Stamford-Danbury,224880746.15,143.85336564081103,2.4082946072772438,190.25527397490234,79.00000000000003
80::Visalia--Los Angeles-Long Beach-Anaheim,222171162.65,167.3147951503988,3.0023468397458983,237.18540033992608,79.00000000000004
81::Chicago-Naperville-Elgin--Peoria,220183825.69,123.15648598815139,1.8260404996061652,144.25719946888702,78.99999999999999
82::Albany-Schenectady-Troy--Boston-Cambridge-Newton,216363042.26,142.58061588832382,2.4698351933179508,195.1169802721181,79.0
83::Philadelphia-Camden-Wilmington--Virginia Beach-Chesapeake-Norfolk,214631018.95,229.6514105612045,3.252255852175933,256.9282123218985,78.99999999999994
84::Miami-Fort Lauderdale-West Palm Beach--North Port-Bradenton-Sarasota,213569144.98,162.84800709820775,3.6852552794656597,291.13516707778695,78.99999999999996
85::Indianapolis-Carmel-Greenwood--Louisville/Jefferson County,210107386.28,118.92042303196563,1.56607337700404,123.71979678331915,79.0
86::San Francisco-Oakland-Fremont--Fresno,209788285.06,159.2505071535905,2.4878153975091792,196.53741640322505,78.99999999999996
87::Manchester-Nashua--New York-Newark-Jersey City,209595155.03,199.65949271599325,3.0792630336425826,243.26177965776407,79.00000000000001
88::New York-Newark-Jersey City--Dover,207977110.84,133.65693963479484,2.0665407686127377,163.25672072040615,78.99999999999994
89::Fort Wayne--Chicago-Naperville-Elgin,204238129.79,143.27815889050143,1.914348002212505,151.233492174788,79.00000000000006
90::Detroit-Warren-Dearborn--Akron,203689139.13,122.11831369422144,2.290975989356436,180.98710315915844,79.0
91::Chicago-Naperville-Elgin--Cleveland,202545197.14,311.90308843649757,4.3093491883749815,340.4385858816238,79.00000000000006
92::Atlanta-Sandy Springs-Roswell--Augusta-Richmond County,200816120.26,139.5506847795739,2.14063321971937,169.11002435783033,79.00000000000004
93::Pittsburgh--Columbus,200757803.63,160.87686564198535,2.304438249820364,182.05062173580887,79.00000000000004
94::Reading--Washington-Arlington-Alexandria,200333982.1,117.23335170311866,2.173852356892456,171.73433619450415,79.00000000000006
95::Boston-Cambridge-Newton--Washington-Arlington-Alexandria,198811587.94,394.09281549793025,5.649378280535164,446.30088416227795,79.0
96::New York-Newark-Jersey City--Pottsville,197642614.72,118.08730594403107,1.9331048109466527,152.71528006478576,79.0000000000001
97::Philadelphia-Camden-Wilmington--Providence-Warwick,196095707.5,230.3744610221445,3.290852678906704,259.9773616336295,78.99999999999997
98::Baltimore-Columbia-Towson--Allentown-Bethlehem-Easton,195456682.36,112.88250839904771,2.343673492158043,185.1502058804855,79.00000000000003
99::New Haven--Boston-Cambridge-Newton,194190476.76,119.71212953491757,1.8408902227853892,145.4303276000458,79.00000000000004
